name,brand,price_rub,price_kzt,seller,seller_id,seller_rating,seller_total_sold,seller_age_months,feedbacks,category,source_file,risk_level,publication_date,first_review_datetime
Стильное оформление стены с фоторамками,,1897.0,11382.0,ЛИТОНWELL,4140549.0,4.5,0.0,17.0,0.0,декоративные полотна,all_products.csv,low,2025-10-06,2025-10-11
Стильная наклейка «Карта мира» для интерьера,Take it easy,1578.0,9468.0,Valentain,4526356.0,4.6,0.0,32.0,0.0,декорации настенные,all_products.csv,low,2024-08-29,2024-09-14
Светящиеся наклейки на стену и звезды и светятся в темноте,mir nakleek,421.0,2526.0,mirnakleek,372264.0,4.8,12759.0,48.0,1302.0,наклейки интерьерные,all_products.csv,low,2025-11-23,2025-12-08
"Наклейка 3D для стен Три котика, 60х40 см, ПВХ",Take it easy,503.0,3018.0,LeoCity,459743.0,4.6,0.0,23.0,0.0,наклейки интерьерные,all_products.csv,low,2025-08-15,2025-08-27
"Декоративные крючки ""Любовь витает в воздухе"" дерево",Удачная покупка,612.0,3672.0,Удачная покупка,4533728.0,4.6,0.0,6.0,0.0,крючки настенные,all_products.csv,low,2025-10-13,2025-10-26
"Декор настенный ""Карта мира"" 54 х 120 с",,1875.0,11250.0,Универмаг. Товары для всех.,4094898.0,4.6,0.0,27.0,0.0,карты географические,all_products.csv,low,2024-01-03,2024-01-14
Подвесной декор Пара голубей 24х24х26 см,Take it easy,4128.0,24768.0,Goods & More,775429.0,4.7,0.0,39.0,0.0,декорации настенные,all_products.csv,low,2024-05-01,2024-05-07
Наклейка на стену Звезды,BELOUSOV,856.0,5136.0,BELOUSOV,73413.0,4.9,0.0,18.0,0.0,наклейки интерьерные,all_products.csv,low,2025-11-15,2025-11-19
Стильное настенное украшение с жуками,,972.0,5832.0,ЛИТОНWELL,4140549.0,4.5,0.0,24.0,0.0,декорации настенные,all_products.csv,low,2024-06-28,2024-07-05
Детские наклейки интерьерные на стену декор,VEROL,514.0,3084.0,VEROL,56262.0,4.8,6879.0,13.0,702.0,наклейки интерьерные,all_products.csv,low,2025-08-02,2025-08-18
"Наклейка интерьерная ""Совята""",,230.0,1380.0,СТИКЕРМАГ,4412952.0,4.9,4118.0,21.0,416.0,наклейки интерьерные,all_products.csv,low,2025-03-01,2025-03-08
Интерьерная мотивирующая наклейка на стену,2stiсker,300.0,1800.0,Наклейки 2stiсker,258806.0,4.9,960.0,30.0,97.0,наклейки интерьерные,all_products.csv,low,2023-11-04,2023-11-07
"Наклейки интерьерные ""Бабочки"" зеркальные декор на стен",,656.0,3936.0,Катана,250001829.0,4.5,0.0,43.0,0.0,наклейки интерьерные,all_products.csv,low,2025-02-10,2025-02-18
Панно декоративное на стену деревянное,Tree-Line,775.0,4650.0,TREE-LINE,674723.0,4.8,264.0,16.0,27.0,декорации настенные,all_products.csv,low,2025-08-06,2025-08-16
"Наклейка интерьерная ""Чашка кофе""",Наклейкин,279.0,1674.0,Наклейкин,123640.0,4.9,29.0,5.0,3.0,наклейки интерьерные,all_products.csv,low,2025-09-23,2025-09-27
Интерьерная 3D наклейка Хоррор 60х45 см,Take it easy,493.0,2958.0,Хоббитон.рф,80436.0,4.6,0.0,27.0,0.0,наклейки интерьерные,all_products.csv,low,2025-12-04,2025-12-14
Зеркальные бабочки для стен,,962.0,5772.0,ИП Федорова А.А.,4306211.0,4.7,0.0,48.0,0.0,таблички и наклейки информационные,all_products.csv,low,2022-07-29,2022-08-08
"Наклейка интерьерная PVC ""Рой бабочек"" монохром 26х15,5 см",Арт узор,1126.0,6756.0,Большие мелочи,277792.0,4.7,0.0,23.0,0.0,наклейки интерьерные,all_products.csv,low,2025-05-30,2025-06-16
Интерьерные наклейки на кухню корзина с цветами,Sticker home,346.0,2076.0,Sticker Home,1336040.0,4.9,51559.0,42.0,5208.0,наклейки интерьерные,all_products.csv,low,2024-11-11,2024-11-21
Декор на стену табличка металлическая кофе,Studio decor,1285.0,7710.0,S & N Company,1048925.0,4.9,0.0,42.0,0.0,декорации настенные,all_products.csv,low,2024-03-27,2024-04-05
"Настенное зеркало ""Роза"" акриловое 75x75 см",QF,694.0,4164.0,GranTiger,1316502.0,4.7,0.0,24.0,0.0,зеркала косметические,all_products.csv,low,2024-03-04,2024-03-15
"Зеркальные наклейки ""Роза"" для декора стен 75x75 см",Take it easy,1097.0,6582.0,fantastic.store,114116.0,4.7,0.0,26.0,0.0,декорации настенные,all_products.csv,low,2023-10-25,2023-11-10
Морской декор в стиле спасательного круга,,889.0,5334.0,Malibelle,386578.0,4.3,0.0,22.0,0.0,декорации настенные,all_products.csv,medium,2025-06-02,2025-06-18
Наклейка 3Д интерьерная Вулкан,Сималенд,1011.0,6066.0,Большие мелочи,277792.0,4.7,0.0,32.0,0.0,наклейки интерьерные,all_products.csv,low,2024-03-24,2024-04-01
"Настенное зеркало ""Бабочки"" на клеевой основе, акриловое",Take it easy,309.0,1854.0,ООО Развитие,1167791.0,4.9,0.0,23.0,0.0,декорации настенные,all_products.csv,low,2024-09-21,2024-09-25
Декоративная панель Цветочный луг 60x40 см,In Mother's Hands,1494.0,8964.0,BRENDWALL,29267.0,4.8,0.0,18.0,0.0,газоны искусственные,all_products.csv,low,2024-09-21,2024-09-24
"Настенный декор с вешалкой ""Слон"" 11х10.5 см белый",Славный малыш,915.0,5490.0,Славный Малыш,191977.0,4.8,0.0,24.0,0.0,декорации настенные,all_products.csv,low,2025-01-16,2025-01-29
"Детские интерьерные наклейки ""Слоник"" для стен 61x80 см",Take it easy,1702.0,10212.0,Барсоня,420481.0,4.7,0.0,14.0,0.0,наклейки интерьерные,all_products.csv,low,2025-08-10,2025-08-26
"Декоративная панель ""Трава с цветами"", 60х40 см",Greengo,878.0,5268.0,Барсоня,420481.0,4.7,0.0,32.0,0.0,газоны искусственные,all_products.csv,low,2025-06-11,2025-06-18
Лента интерьерная для декора стен 1 см 50 метров,Arinnika,307.0,1842.0,Arinnika,80427.0,4.9,1881.0,16.0,190.0,наклейки интерьерные,all_products.csv,low,2025-01-07,2025-01-15
Декор настенный Пузырьки,,555.0,3330.0,4EL,4291051.0,4.7,0.0,37.0,0.0,декорации настенные,all_products.csv,low,2024-04-04,2024-04-18
Интерьерная наклейка TAKE IT EASY «Семейное дерево»,,913.0,5478.0,Мэджик,1184681.0,4.9,0.0,5.0,0.0,наклейки интерьерные,all_products.csv,low,2025-10-28,2025-11-01
Большие 3D настенные часы Ясмина для интерьера,Соломон,1049.0,6294.0,Все по феншую,250024759.0,4.3,0.0,6.0,0.0,часы настенные,all_products.csv,medium,2025-09-02,2025-09-10
Красивые интерьерные наклейки для стен,Сималенд,995.0,5970.0,Smart Play,250012216.0,4.7,0.0,46.0,0.0,наклейки интерьерные,all_products.csv,low,2025-08-07,2025-08-20
"Настенное зеркало акриловое ""Цветочки"" 10х4.7 см",Take it easy,568.0,3408.0,TexноPremium,853057.0,4.7,0.0,46.0,0.0,декорации настенные,all_products.csv,low,2023-08-11,2023-08-25
Морской сувенир в виде спасательного круга,,809.0,4854.0,MaLi,250078150.0,4.5,0.0,33.0,0.0,подвески интерьерные,all_products.csv,low,2024-01-31,2024-02-11
Наклейки для декора на окно и стену 14 февраля,posuta,600.0,3600.0,АРСЕНАЛ,4396188.0,4.8,0.0,48.0,0.0,наклейки интерьерные,all_products.csv,low,2024-05-20,2024-06-03
Декоративное панно с надписью ВАМОЖДЕНИЕ,,1375.0,8250.0,Иду к мечте,250065313.0,4.7,0.0,2.0,0.0,декорации настенные,all_products.csv,low,2025-12-07,2025-12-23
Новогодние наклейки на окна многоразовые,FunТик,605.0,3630.0,ПОБЕДАSH,349307.0,4.9,2009.0,41.0,203.0,наклейки интерьерные,all_products.csv,low,2024-03-22,2024-04-03
Новогодние наклейки Домики в снегу,Sticker home,268.0,1608.0,Sticker Home,1336040.0,4.9,45599.0,36.0,4606.0,наклейки интерьерные,all_products.csv,low,2024-11-30,2024-12-16
Самая компактная елка украшение фотозона,Home-comfort74,1040.0,6240.0,Home-comfort74,620785.0,4.7,38.0,8.0,4.0,елки,all_products.csv,low,2025-07-16,2025-08-02
Зеркальные наклейки на стену «Карта мира»,Take it easy,2439.0,14634.0,ЛОКАВид,250061644.0,4.7,0.0,40.0,0.0,декорации настенные,all_products.csv,low,2024-06-15,2024-06-20
Светящиеся в темноте фосфорные Ажурные бабочки,Наклейки,478.0,2868.0,ООО ЯгодПром,1291973.0,4.6,0.0,7.0,0.0,наклейки интерьерные,all_products.csv,low,2025-08-27,2025-09-04
"Наклейки интерьерные ""Котики"" зеркальные декор на стену н",,1369.0,8214.0,Формат Жизни,250052019.0,4.7,0.0,39.0,0.0,наклейки интерьерные,all_products.csv,low,2025-07-25,2025-08-06
Элегантная настенная фигурка с функцией крючка,,1351.0,8106.0,Аврора Комфорт,1292820.0,4.7,0.0,6.0,0.0,декорации настенные,all_products.csv,low,2025-12-23,2026-01-08
Наклейки на стену для декора киты,posuta,600.0,3600.0,АРСЕНАЛ,4396188.0,4.8,0.0,27.0,0.0,наклейки интерьерные,all_products.csv,low,2024-07-02,2024-07-18
Интерьерная наклейка 3D Дельфины на стену 90х60 см,Take it easy,535.0,3210.0,Товары для радости,85971.0,4.8,0.0,37.0,0.0,наклейки интерьерные,all_products.csv,low,2023-10-22,2023-11-01
Часы настенные интерьерные самоклеящиеся декор для дома 3D,Часы маркет,205.0,1230.0,Магазин часов,604962.0,4.6,18009.0,5.0,1876.0,часы настенные,all_products.csv,low,2025-11-15,2025-12-02
Настенное зеркало «Девушка» акрил 80×63 см черное,,1676.0,10056.0,SiriusShop,1265686.0,4.9,0.0,3.0,0.0,декорации настенные,all_products.csv,low,2025-12-02,2025-12-17
Зеркало настенное «Пузырьки» акрил 32 детали d=2-15 см,,633.0,3798.0,TopLevel,4232353.0,4.9,0.0,45.0,0.0,декорации настенные,all_products.csv,low,2024-04-06,2024-04-16
"Модное настенное панно ""Губы"" 560*450 мм",М`Арт,1032.0,6192.0,М'Арт,1300173.0,4.9,9.0,35.0,1.0,декорации настенные,all_products.csv,low,2023-09-19,2023-10-02
Панно на стену декоративное Горы с подсветкой,Spirit of Nature,4904.0,29424.0,Robin Wood 2,212099.0,4.7,455.0,11.0,47.0,декорации настенные,all_products.csv,low,2025-10-08,2025-10-14
Панно резное «Стрелец» 30×30×2 см,,1489.0,8934.0,Имагиро,1358041.0,4.4,0.0,26.0,0.0,декорации настенные,all_products.csv,medium,2025-11-25,2025-12-03
"Панно декоративное детское 3D ""Енотик""",,680.0,4080.0,ДревоДел,250065948.0,4.7,0.0,19.0,0.0,декорации настенные,all_products.csv,low,2024-10-20,2024-10-24
Настенный декор с вешалкой Олень,Take it easy,1245.0,7470.0,Всё для дома,250050603.0,4.7,0.0,1.0,0.0,декорации настенные,all_products.csv,low,2025-11-26,2025-12-13
Наклейки на стену детские интерьерные декор,wallshebno,561.0,3366.0,Wallshebno,84405.0,4.9,8246.0,39.0,833.0,наклейки интерьерные,all_products.csv,low,2024-04-14,2024-04-19
"Зеркальная Наклейка ""Сказка на Стене""",MP89,530.0,3180.0,ВСЕ ТОВАРЫ ПРОДАВЦА,276632.0,4.6,0.0,37.0,0.0,декорации настенные,all_products.csv,low,2023-12-21,2023-12-31
"Интерьерные наклейки ""Цветы"", розовые бабочки",Take it easy,2026.0,12156.0,ЗинЛенд,315237.0,4.7,0.0,19.0,0.0,наклейки интерьерные,all_products.csv,low,2024-12-23,2024-12-27
Панно из мха «рассвет»60*30см. Картина Стабилизированный мох,simar.by,3940.0,23640.0,Simar.by,4006326.0,4.7,378.0,23.0,39.0,декорации настенные,all_products.csv,low,2025-08-30,2025-09-14
3D интерьерная наклейка Хоррор 55х40 см,Take it easy,401.0,2406.0,MarketPlase,199976.0,4.6,0.0,14.0,0.0,наклейки интерактивные,all_products.csv,low,2025-03-09,2025-03-24
Часы настенные интерьерные бесшумные 30 см,РУБИН,520.0,3120.0,NiKAS - Официальный магазин,45598.0,4.8,5096.0,26.0,520.0,часы настенные,all_products.csv,low,2023-12-21,2024-01-02
интерьерные настенные часы,,3277.0,19662.0,THEBEST,250002450.0,4.6,288.0,36.0,30.0,часы настенные,all_products.csv,low,2024-06-05,2024-06-11
Зеркальные интерьерные наклейки с картой мира,,5528.0,33168.0,Ensem,4139407.0,4.2,0.0,29.0,0.0,декорации настенные,all_products.csv,medium,2024-05-14,2024-05-27
"Настенное зеркало ""Ромбы"" акриловое 50х50 см",QF,874.0,5244.0,Аклен-товары для красоты и здоровья,34030.0,4.8,0.0,29.0,0.0,декорации настенные,all_products.csv,low,2025-09-12,2025-09-16
Панно на стену для интерьера большое XL,Оксана Суркова,1329.0,7974.0,Оксана Суркова,662439.0,4.9,69.0,13.0,7.0,декорации настенные,all_products.csv,low,2025-11-08,2025-11-25
Наклейки интерьерные на стену для декора,DiDesign,500.0,3000.0,DiDesign,4181730.0,4.9,8692.0,36.0,878.0,наклейки интерьерные,all_products.csv,low,2024-05-25,2024-06-04
Декоративное панно с совой и галстуком,,1696.0,10176.0,Иду к мечте,250065313.0,4.7,0.0,45.0,0.0,декорации настенные,all_products.csv,low,2022-08-14,2022-08-26
Цветочные настенные декоры для интерьера,,1317.0,7902.0,АРН,250042302.0,4.7,0.0,4.0,0.0,декорации настенные,all_products.csv,low,2025-09-07,2025-09-16
Стильные интерьерные наклейки с фоторамками,,3854.0,23124.0,ALEXANDRIA BRAND's,250018235.0,4.7,0.0,27.0,0.0,декорации настенные,all_products.csv,low,2025-04-23,2025-04-29
"Фотопанно на стену ""Китайские драконы"" 150х200",JoyArty,1736.0,10416.0,JoyArty Store,32965.0,4.8,0.0,17.0,0.0,фотофоны,all_products.csv,low,2024-09-13,2024-09-25
Декор на стену табличка металлическая Harley-Davidson,Studio decor,1285.0,7710.0,S & N Company,1048925.0,4.9,0.0,13.0,0.0,декорации настенные,all_products.csv,low,2025-07-25,2025-07-31
Новогодние наклейки 2026 на стену для декора,Di NewYear,250.0,1500.0,DiDesign,4181730.0,4.9,32798.0,7.0,3313.0,наклейки интерьерные,all_products.csv,low,2025-07-11,2025-07-14
Наклейки интерьерные декоративные на стену в ванную,stiker,263.0,1578.0,Stiker,437712.0,4.9,2524.0,35.0,255.0,наклейки интерьерные,all_products.csv,low,2023-06-29,2023-07-13
Интерьерные наклейки на стену Картины тропики,Sticker home,527.0,3162.0,Sticker Home,1336040.0,4.9,43025.0,13.0,4346.0,наклейки интерьерные,all_products.csv,low,2025-03-14,2025-03-24
Зеркальная карта мира для стильного интерьера,,3706.0,22236.0,G-shop,4366127.0,4.4,0.0,25.0,0.0,карты географические,all_products.csv,medium,2023-11-24,2023-12-01
"Фотопанно на стену ""Геометрия красками"" 100х150",JoyArty,1291.0,7746.0,JoyArty Store,32965.0,4.8,0.0,24.0,0.0,декорации настенные,all_products.csv,low,2025-11-18,2025-11-23
Красочные интерьерные наклейки с цветами,,2652.0,15912.0,TechnoWorld,331606.0,4.1,0.0,28.0,0.0,декорации настенные,all_products.csv,medium,2023-11-16,2023-12-01
3Д наклейка интерьерная Мотоспорт 57x38 см,Take it easy,371.0,2226.0,Стоинство,4102582.0,4.7,0.0,27.0,0.0,наклейки интерактивные,all_products.csv,low,2025-03-09,2025-03-22
Элегантное деревянное панно с кактусом,,2056.0,12336.0,UniverSale,250034515.0,4.7,0.0,32.0,0.0,декорации настенные,all_products.csv,low,2024-12-12,2024-12-15
"Интерьерные наклейки ""Волшебные снегири"" 21х29.5 см, 3 шт",Дарите Счастье,399.0,2394.0,TexноPremium,853057.0,4.7,0.0,24.0,0.0,наклейки интерьерные,all_products.csv,low,2025-10-09,2025-10-12
Зеркальные наклейки Соты на стену,Take it easy,839.0,5034.0,Авантазия,3966486.0,4.8,0.0,14.0,0.0,декорации настенные,all_products.csv,low,2025-11-30,2025-12-09
Наклейка интерьерная цветы тропик,УХТЫ Принт,258.0,1548.0,УХТЫ Принт,904700.0,4.8,107.0,7.0,11.0,наклейки интерьерные,all_products.csv,low,2025-11-22,2025-11-29
"Декор настенный ""Цветы"", зеркальный, 90 элементов",Сималенд,614.0,3684.0,Архипелаг,250057227.0,4.9,0.0,37.0,0.0,наклейки интерьерные,all_products.csv,low,2025-02-22,2025-03-09
Интерьерные наклейки с цветами для стен,,3023.0,18138.0,VBShop,250043773.0,4.5,0.0,27.0,0.0,декорации настенные,all_products.csv,low,2025-03-18,2025-03-27
"Набор светящегося декора, Следы",Take it easy,917.0,5502.0,Торговый дом Матвеев,250067909.0,4.7,0.0,45.0,0.0,наклейки интерьерные,all_products.csv,low,2023-07-10,2023-07-27
Зеркальные интерьерные цветочные наклейки,,892.0,5352.0,VBShop,250043773.0,4.5,0.0,22.0,0.0,декорации настенные,all_products.csv,low,2024-05-10,2024-05-22
Панно интерьерное кухонное на стену Столовые приборы,Сималенд,884.0,5304.0,UniverseMarket,250019216.0,4.8,0.0,24.0,0.0,панно для бани,all_products.csv,low,2025-02-26,2025-03-01
Морской сувенир 'Спасательный круг' 12x2 см,,809.0,4854.0,Malibelle,386578.0,4.3,0.0,9.0,0.0,подвески интерьерные,all_products.csv,medium,2025-12-24,2025-12-30
Наклейка 3Д интерьерная Горы Тянь-Шань,Сималенд,830.0,4980.0,Большие мелочи,277792.0,4.7,0.0,23.0,0.0,наклейки интерьерные,all_products.csv,low,2025-10-18,2025-10-30
Панно металлическое Рыбки,Эдельвейс-М,4242.0,25452.0,Эдельвейс-М,250031308.0,4.7,0.0,41.0,0.0,декорации настенные,all_products.csv,low,2023-05-15,2023-05-31
Декор на стену табличка металлическая To Travel,Studio decor,1213.0,7278.0,Studio Decor,4077117.0,4.9,0.0,2.0,0.0,декорации настенные,all_products.csv,low,2025-12-11,2025-12-20
"Декор настенный, панно «Рыбка», 16×5 см, золото",Take it easy,996.0,5976.0,Трансторг,201766.0,4.7,0.0,15.0,0.0,декорации настенные,all_products.csv,low,2025-12-05,2025-12-21
Зеркальные звездочки для интерьера,,789.0,4734.0,my sun market,4087554.0,4.7,0.0,24.0,0.0,наклейки интерактивные,all_products.csv,low,2024-10-13,2024-10-20
Зеркальные интерьерные наклейки с розами,,4017.0,24102.0,lunessy,4128661.0,4.7,0.0,18.0,0.0,декорации настенные,all_products.csv,low,2025-11-18,2025-12-01
Наклейка интерьерная на кухонный фартук синий перелив,posuta,1001.0,6006.0,АРСЕНАЛ,4396188.0,4.8,0.0,10.0,0.0,наклейки интерьерные,all_products.csv,low,2025-11-03,2025-11-12
Элегантная настенная птичка-декор для интерьера,,1563.0,9378.0,ЛИТОНWELL,4140549.0,4.5,0.0,2.0,0.0,декорации настенные,all_products.csv,low,2025-11-08,2025-11-17
Стильные наклейки для современного интерьера,Take it easy,728.0,4368.0,GudZon,1337696.0,4.6,0.0,45.0,0.0,плитка зеркальная,all_products.csv,low,2025-06-06,2025-06-21
Наклейки зеркальные самоклеящийся на стену 5м 20мм черн,JOYART,650.0,3900.0,JOYART,362848.0,4.9,1554.0,24.0,157.0,наклейки интерьерные,all_products.csv,low,2024-03-22,2024-04-02
"Наклейка интерьерная ""Правила дома""",Наклейкин,679.0,4074.0,Наклейкин,123640.0,4.9,455.0,22.0,46.0,наклейки интерьерные,all_products.csv,low,2024-11-29,2024-12-13
Декор для интерьера Панно настенное 12 деталей,Jannet-clock,1012.0,6072.0,ILIJIO,62918.0,4.8,5272.0,41.0,538.0,декорации настенные,all_products.csv,low,2024-02-22,2024-03-02
Зеркальные интерьерные кирпичики для стен,,1688.0,10128.0,UniverSale,250034515.0,4.7,0.0,43.0,0.0,декорации настенные,all_products.csv,low,2024-04-04,2024-04-16
"Декоративные настенные крючки ""Птицы на проводах"" дерево",,786.0,4716.0,Хит-Магнит,1406064.0,4.8,0.0,35.0,0.0,декорации настенные,all_products.csv,low,2023-03-08,2023-03-15
Элегантные настенные декоры с цветами,,2195.0,13170.0,Манифест,4476510.0,4.5,0.0,28.0,0.0,декорации настенные,all_products.csv,low,2024-01-18,2024-01-25
"Настенные 3D часы интерьерные, плавный ход, d-50 см",Нет бренда,1146.0,6876.0,ООО Развитие,1167791.0,4.9,0.0,8.0,0.0,часы настенные,all_products.csv,low,2025-08-27,2025-09-05
"Крючки декоративные дерево ""Абстракция Цветок и ваза"" 1 5х2",,937.0,5622.0,Формат Жизни,250052019.0,4.7,0.0,21.0,0.0,ключницы настенные,all_products.csv,low,2024-05-18,2024-05-23
Зеркальные интерьерные самоклеящиеся наклейки на стену,Vimoon,750.0,4500.0,Vimoon,1194939.0,4.8,14366.0,20.0,1466.0,наклейки интерьерные,all_products.csv,low,2025-01-08,2025-01-20
"Декоративная панель ""Белые колокольчики"" 60x40 см",,1375.0,8250.0,Универмаг. Товары для всех.,4094898.0,4.6,0.0,46.0,0.0,газоны искусственные,all_products.csv,low,2024-10-28,2024-11-09
"Фотопанно на стену ""Узоры на ковре"" 100х150",JoyArty,1291.0,7746.0,JoyArty Store,32965.0,4.8,19.0,41.0,2.0,декорации настенные,all_products.csv,low,2024-04-06,2024-04-20
Декор на стену резной Гороскоп,Сималенд,2024.0,12144.0,UniverseMarket,250019216.0,4.8,0.0,24.0,0.0,декорации настенные,all_products.csv,low,2025-09-27,2025-10-04
Декор на стену мишка панно цветной 17x10x20 см,Take it easy,1960.0,11760.0,GudZon,1337696.0,4.6,0.0,28.0,0.0,декорации настенные,all_products.csv,low,2024-12-12,2024-12-28
Настенный декор «Птичка»,Take it easy,812.0,4872.0,Bella,250003911.0,4.5,0.0,45.0,0.0,декорации настенные,all_products.csv,low,2024-04-10,2024-04-14
"Декоративная панель 25x25 см ""Трава"" для интерьера",Greengo,362.0,2172.0,Империя счастья,340316.0,4.6,0.0,47.0,0.0,декорации настенные,all_products.csv,low,2025-08-16,2025-08-27
Декоративная панель 40×60 см «Разноцвет» МИКС,Greengo,1039.0,6234.0,Goods & More,775429.0,4.7,0.0,43.0,0.0,газоны искусственные,all_products.csv,low,2023-04-29,2023-05-11
Декоративные наклейки с фоторамками для интерьера,,1686.0,10116.0,WELL Shop,250026978.0,4.4,0.0,18.0,0.0,декорации настенные,all_products.csv,medium,2025-04-13,2025-04-27
Наклейка на стену Очень странные дела Stranger Things,posuta,600.0,3600.0,АРСЕНАЛ,4396188.0,4.8,0.0,17.0,0.0,наклейки интерьерные,all_products.csv,low,2024-12-17,2024-12-20
Стильное панно с цветочным узором,,2043.0,12258.0,VAS,4264585.0,4.7,0.0,8.0,0.0,декорации настенные,all_products.csv,low,2025-07-21,2025-08-06
"Наклейки ""Кит с маяком""",Сималенд,612.0,3672.0,Hoth,1293769.0,4.8,0.0,28.0,0.0,временные татуировки,all_products.csv,low,2024-01-09,2024-01-16
Интерьерные наклейки бордюры на стену декоративные,,446.0,2676.0,Fluff,894910.0,4.9,0.0,11.0,0.0,наклейки интерьерные,all_products.csv,low,2025-06-28,2025-07-11
Настенные 3D часы интерьерные большие d 120 см,Соломон,1796.0,10776.0,Домный,65617.0,4.7,0.0,29.0,0.0,часы настенные,all_products.csv,low,2025-12-20,2025-12-23
Декор для дома интерьера Панно на стену гипсовое,Мел Гипсон,1529.0,9174.0,Эстетика и уют,1330653.0,4.9,198.0,25.0,20.0,декорации настенные,all_products.csv,low,2024-04-24,2024-05-01
Интерьерные наклейки на стену декор,VEROL,510.0,3060.0,VEROL,56262.0,4.8,13181.0,28.0,1345.0,наклейки интерьерные,all_products.csv,low,2024-11-03,2024-11-11
Декор на стену табличка металлическая Route66,Studio decor,1213.0,7278.0,Studio Decor,4077117.0,4.9,0.0,1.0,0.0,декорации настенные,all_products.csv,low,2025-12-20,2026-01-03
Панно интерьерное барельеф Золотые ирисы,Сималенд,942.0,5652.0,Сима-Ленд - Интерьер,113652.0,4.8,323.0,9.0,33.0,декорации настенные,all_products.csv,low,2025-08-20,2025-08-26
Декор на стену табличка металлическая Born To Be Wild,Studio decor,1213.0,7278.0,Studio Decor,4077117.0,4.9,0.0,1.0,0.0,декорации настенные,all_products.csv,low,2025-12-13,2025-12-16
Часы настенные мусульманские 30 см,РУБИН,423.0,2538.0,Стало видно,1205999.0,4.8,8016.0,36.0,818.0,часы настенные,all_products.csv,low,2024-08-09,2024-08-24
Наклейки интерьерные для декора на стену Дед Мороз,posuta,600.0,3600.0,АРСЕНАЛ,4396188.0,4.8,0.0,17.0,0.0,наклейки интерьерные,all_products.csv,low,2024-08-06,2024-08-12
Наклейки интерьерные в ванную на стену детские,stiker,263.0,1578.0,Stiker,437712.0,4.9,4950.0,29.0,500.0,наклейки интерьерные,all_products.csv,low,2024-10-17,2024-11-03
"Ключница настенная-подкова Тепла и уюта в дом, солнце, 9,7",Семейные традиции,1005.0,6030.0,ИП Богданов М.Ю.,398114.0,4.6,0.0,40.0,0.0,ключницы настенные,all_products.csv,low,2025-12-13,2025-12-25
Настенное панно Лошадь с жеребенком 19 5х14 см,,692.0,4152.0,FLASH MAX,73467.0,4.5,0.0,28.0,0.0,обереги,all_products.csv,low,2025-01-24,2025-02-04
Наклейка на стену для декора интерьерная Кот и кошка сердце,Наклейки за Копейки,997.0,5982.0,Наклейки за Копейки,62993.0,4.8,19.0,9.0,2.0,наклейки интерьерные,all_products.csv,low,2025-12-19,2026-01-05
"Часы настенные интерьерные большие, 3d ""Аннита"", дискретный",Соломон,505.0,3030.0,ИП Богданов М.Ю.,398114.0,4.6,0.0,17.0,0.0,часы настенные,all_products.csv,low,2024-09-27,2024-09-30
"Часы настенные интерьерные большие, 3d ""Давис"", бесшумные, d",Соломон,435.0,2610.0,ИП Богданов М.Ю.,398114.0,4.6,0.0,3.0,0.0,часы настенные,all_products.csv,low,2025-11-25,2025-12-10
Панно резное «Цветы» 30×30×06 см,,1748.0,10488.0,Волшебный Лабиринт,1416637.0,4.6,0.0,21.0,0.0,декорации настенные,all_products.csv,low,2024-11-13,2024-11-17
"Декор настенный с фоторамками ""Розы"" 50",,1114.0,6684.0,Универмаг. Товары для всех.,4094898.0,4.6,0.0,1.0,0.0,декоративные аксессуары для мебели,all_products.csv,low,2025-12-03,2025-12-14
"Настенное панно ""В этом доме мы счастливы""",Сималенд,1140.0,6840.0,Аклен-товары для красоты и здоровья,34030.0,4.8,0.0,27.0,0.0,декорации настенные,all_products.csv,low,2023-12-01,2023-12-16
Декор на стену табличка металлическая Chevrolet,Studio decor,1213.0,7278.0,Studio Decor,4077117.0,4.9,0.0,14.0,0.0,декорации настенные,all_products.csv,low,2025-03-15,2025-03-31
Декор интерьерное панно на стену,siam wood,476.0,2856.0,SIAm,299952.0,4.9,79.0,30.0,8.0,декорации настенные,all_products.csv,low,2024-11-18,2024-12-04
"Декоративные настенные крючки из дерева, яркие узоры",Сималенд,432.0,2592.0,Аклен-товары для красоты и здоровья,34030.0,4.8,0.0,33.0,0.0,крючки настенные,all_products.csv,low,2023-05-27,2023-06-05
Стильный настенный декор-ваза с рыбками,,2465.0,14790.0,An'Salone,4296384.0,4.9,0.0,25.0,0.0,декорации настенные,all_products.csv,low,2024-02-29,2024-03-03
"Сувенир свиток ""В этом доме мы счастливы""",,1207.0,7242.0,VBShop,250043773.0,4.5,0.0,29.0,0.0,декоративные полотна,all_products.csv,low,2025-10-19,2025-11-04
Декоративные настенные крючки «Домики» 3 крючка дерево,,1055.0,6330.0,ДоброMALL,4397279.0,4.9,0.0,8.0,0.0,ключницы настенные,all_products.csv,low,2025-08-09,2025-08-20
Наклейки интерьерные на стену Цветы,posuta,600.0,3600.0,АРСЕНАЛ,4396188.0,4.8,0.0,16.0,0.0,наклейки интерьерные,all_products.csv,low,2025-04-15,2025-04-27
Наклейки интерьерные зеркальные декор настенный,Take it easy,427.0,2562.0,Yondra,1313221.0,4.8,29.0,30.0,3.0,наклейки интерьерные,all_products.csv,low,2024-09-19,2024-09-30
