name,brand,price_rub,price_kzt,seller,seller_id,seller_rating,seller_total_sold,seller_age_months,feedbacks,category,source_file,risk_level,publication_date,first_review_datetime
Диск здоровья с эспандером для тренировки корпуса,ShopBenefit,964.0,5784.0,LIANA,1194283.0,4.5,0.0,23.0,0.0,тренажеры,all_products.csv,low,2025-11-02,2025-11-19
Фитнес тренажер для ног бедер и ягодиц,Фитнес дома,1017.0,6102.0,Акции и скидки,1226450.0,4.6,7267.0,15.0,757.0,тренажеры,all_products.csv,low,2025-05-12,2025-05-25
Тренажер для ног бёдер ягодиц многофункциональный,TAY.T,681.0,4086.0,Маркетон,250036934.0,4.6,0.0,14.0,0.0,тренажеры,all_products.csv,low,2025-11-12,2025-11-17
Диск твистер для похудения с резинками,Ананас,1015.0,6090.0,KIRIMARU,250066354.0,4.5,0.0,29.0,0.0,тренажеры,all_products.csv,low,2025-11-10,2025-11-27
Ролик для пресса тренажер,,3242.0,19452.0,ИП Aqberdi,4422386.0,4.4,0.0,2.0,0.0,ролики для пресса,all_products.csv,medium,2025-11-02,2025-11-14
Тренажер мостик для спины для осанки для позвоночника,,354.0,2124.0,Nur,250059350.0,4.7,9.0,32.0,1.0,тренажеры,all_products.csv,low,2024-01-17,2024-01-31
Ролик для пресса для улучшения пресса 200кг,,2070.0,12420.0,MixYou,250025666.0,4.8,0.0,35.0,0.0,ролики для пресса,all_products.csv,low,2023-11-10,2023-11-16
Универсальный тренажер-эспандер,DZHU15,1306.0,7836.0,Рыскуловна,250065462.0,4.7,0.0,16.0,0.0,эспандеры,all_products.csv,low,2025-10-01,2025-10-13
Тренажер для похудения для ног спины рук,TIDDO,485.0,2910.0,KIRIMARU,250066354.0,4.5,0.0,23.0,0.0,тренажеры,all_products.csv,low,2025-01-06,2025-01-15
Тренажер,БиКей,662.0,3972.0,DegterevaNata,250024298.0,4.5,0.0,9.0,0.0,тренажеры,all_products.csv,low,2025-08-21,2025-09-06
Универсальный диск здоровья стальной,,612.0,3672.0,BRB SHOP,250075919.0,4.7,0.0,4.0,0.0,диски для скольжения,all_products.csv,low,2025-10-30,2025-11-09
Диск здоровья универсальный металл,,612.0,3672.0,BRB SHOP,250075919.0,4.7,0.0,21.0,0.0,диски для скольжения,all_products.csv,low,2025-09-10,2025-09-13
Тренажер для тела Ревофлекс,Mooncat,2842.0,17052.0,Лучшие товары 2025,70962.0,4.8,0.0,41.0,0.0,тренажеры,all_products.csv,low,2024-09-15,2024-09-27
Эспандер тренажёр для тренировок дома,Brand Lana,736.0,4416.0,FORTUNA,250050815.0,4.5,0.0,35.0,0.0,эспандеры,all_products.csv,low,2025-06-17,2025-06-23
тренажер для ног степпер тренажер для дома с эспандерами,,4089.0,24534.0,Восточный Эксклюзив,250035543.0,4.3,0.0,11.0,0.0,тренажеры,all_products.csv,medium,2025-08-13,2025-08-21
Тренажёр для ягодиц и бёдер домашний фитнес,ас3493,838.0,5028.0,К17,250033239.0,4.6,0.0,24.0,0.0,тренажеры,all_products.csv,low,2024-05-11,2024-05-24
Эспандер для фитнеса 4-трубный тренажёр для дома пресса но,JA7,932.0,5592.0,NUNA Premium Line,250031562.0,4.4,0.0,5.0,0.0,тренажеры,all_products.csv,medium,2025-12-14,2025-12-25
Диск здоровья вращающийся фитнесс тренажер,Sport-trend,626.0,3756.0,NAB,1289239.0,4.7,252.0,11.0,26.0,диски балансировочные,all_products.csv,low,2025-07-04,2025-07-08
Ролик для пресса,,692.0,4152.0,Alim_toys,4064018.0,4.6,0.0,36.0,0.0,ролики для пресса,all_products.csv,low,2025-10-25,2025-10-28
Тренажёр-диск с эспандерами для тренировок похудения дома,LI Liza,824.0,4944.0,ЛЮМЕРА ШОП- вдохновляйся каждый день!,250066898.0,4.5,0.0,46.0,0.0,тренажеры,all_products.csv,low,2023-08-12,2023-08-25
Эспандер ленточный резинка для фитнеса,SPORT GURU,410.0,2460.0,SPORT GURU,395153.0,4.9,594.0,19.0,60.0,эспандеры,all_products.csv,low,2025-10-23,2025-11-09
Эспандер для фитнеса многофункциональный тренажер,,774.0,4644.0,Мир для дома,4105967.0,4.7,203.0,27.0,21.0,тренажеры,all_products.csv,low,2025-01-20,2025-02-03
Тренажер для фитнеса и йоги,AS1424,665.0,3990.0,S.M.R,1235791.0,4.5,0.0,38.0,0.0,тренажеры,all_products.csv,low,2025-06-25,2025-07-10
Диск тренажер,АТИ,1211.0,7266.0,Золотой ключик,250020306.0,4.6,0.0,32.0,0.0,тренажеры,all_products.csv,low,2024-06-08,2024-06-15
Многофункциональный тренировочный эспандер для груди,,1442.0,8652.0,ИгоНас,4061148.0,4.5,0.0,38.0,0.0,эспандеры,all_products.csv,low,2024-03-26,2024-04-04
Крутящийся диск-тренажер универсальный,,685.0,4110.0,BRB SHOP,250075919.0,4.7,0.0,15.0,0.0,тренажеры,all_products.csv,low,2025-09-27,2025-10-05
"Многофункциональный тренажёр для груди, рук, бёдер и ягодиц",ас3492,679.0,4074.0,ИП Ананько,1112546.0,4.6,0.0,16.0,0.0,тренажеры,all_products.csv,low,2024-11-07,2024-11-19
Диск здоровья вращающийся с эспандерами,TAY.T,1154.0,6924.0,BMA Store,698537.0,4.6,0.0,33.0,0.0,тренажеры,all_products.csv,low,2025-01-02,2025-01-18
Фитнес тренажер домашний,Бакуся,1376.0,8256.0,ALNUSA,4086967.0,4.9,0.0,24.0,0.0,Unknown Category,all_products.csv,low,2024-07-03,2024-07-10
Степпер тренажер для похудения дома до 120 кг,,2861.0,17166.0,Digital Sharks,250024915.0,4.8,13749.0,7.0,1403.0,тренажеры,all_products.csv,low,2025-09-17,2025-10-04
виброплатформа для похудение степпер массажер,,2644.0,15864.0,СX NOVA,250037832.0,4.6,9.0,7.0,1.0,тренажеры,all_products.csv,low,2025-07-26,2025-07-29
Степпер тренажер для ног и ягодиц с эспандерами,,19316.0,115896.0,AiZeR,250023314.0,4.7,0.0,36.0,0.0,тренажеры,all_products.csv,low,2025-12-03,2025-12-19
Фитнес - тренажер,Quick purchases,740.0,4440.0,Luna,1163511.0,4.4,37.0,8.0,4.0,тренажеры,all_products.csv,medium,2025-11-28,2025-12-01
Тренажёр для бедер и ягодиц универсальный фитнес эспандер,Зетта,582.0,3492.0,ZARINA,250035950.0,4.5,0.0,8.0,0.0,тренажеры,all_products.csv,low,2025-10-08,2025-10-23
Тренажер для пресса для эффективных тренировок дома,Э4А1,1782.0,10692.0,LanaBrand,250040109.0,4.5,0.0,38.0,0.0,тренажеры,all_products.csv,low,2024-10-14,2024-10-26
Тренажер-диск для домашних тренировок,спортивные товары,780.0,4680.0,MarSel,4248676.0,3.7,0.0,35.0,0.0,эспандеры,all_products.csv,medium,2024-03-18,2024-04-03
Тренажер эспандер для тренировок дома,ИДА,912.0,5472.0,LaraMix,250044203.0,4.5,0.0,6.0,0.0,эспандеры,all_products.csv,low,2025-08-15,2025-08-27
Твист диск для тренировок дома — универсальная,Айчол,824.0,4944.0,Dream market,4516567.0,4.6,0.0,13.0,0.0,тренажеры,all_products.csv,low,2025-04-08,2025-04-24
Тренажер Цвет рандомный,aikanya13,665.0,3990.0,Курс,250079013.0,4.7,0.0,25.0,0.0,тренажеры,all_products.csv,low,2024-06-09,2024-06-13
Вращающийся диск с эспандерами для талии и похудения 360°,ПиньПонь,824.0,4944.0,А4,250047707.0,4.6,0.0,6.0,0.0,тренажеры,all_products.csv,low,2025-11-16,2025-11-23
"Набор фитнес резинок, ленточный тренажер от 3-57 кг",AleksTeam,1160.0,6960.0,AleksTeam,1358048.0,4.6,0.0,42.0,0.0,тренажеры для шеи,all_products.csv,low,2022-08-17,2022-08-26
Степпер надувной фитнес тренажер,Красотки,1057.0,6342.0,Красотки,664042.0,4.7,126.0,30.0,13.0,степ-платформы,all_products.csv,low,2025-05-15,2025-05-27
Вращающийся диск-твистер с эспандерами — тренажёр для дома,Q,824.0,4944.0,ПОДАРОК МАМЕ,4500626.0,4.6,0.0,31.0,0.0,тренажеры,all_products.csv,low,2024-01-15,2024-01-24
Легкий мини-степпер с эспандерами для фитнеса,,7310.0,43860.0,ИП Черевко И.А,250040011.0,4.4,0.0,6.0,0.0,тренажеры,all_products.csv,medium,2025-12-06,2025-12-13
Диск здоровья для фитнеса с эспандерами,Спортивные диски,2584.0,15504.0,CREATIVE SHOP,1206142.0,4.8,0.0,41.0,0.0,диски балансировочные,all_products.csv,low,2023-09-22,2023-10-01
Степпер тренажер для ног и ягодиц с эспандерами и стойкой,Everpeak,4201.0,25206.0,Качественные товары,233776.0,4.9,0.0,35.0,0.0,тренажеры,all_products.csv,low,2023-03-12,2023-03-15
Тренажер ролик для пресса,ArmStore-lux,1561.0,9366.0,ArmStore-lux,392403.0,4.5,47.0,9.0,5.0,тренажеры,all_products.csv,low,2025-11-10,2025-11-20
Тренажер для похудения VP-30 виброплатформа для ног c EMS,Planta,5557.0,33342.0,GFGRIL & PLANTA Official store,63219.0,4.8,127.0,43.0,13.0,тренажеры,all_products.csv,low,2025-09-30,2025-10-16
Ролик тренажер для пресса с возвратом и мягкими упорами,7JA,1782.0,10692.0,MODI,250064381.0,4.6,0.0,21.0,0.0,тренажеры,all_products.csv,low,2025-06-17,2025-06-22
Тренажер для ног бедер и ягодиц,sN@il,1351.0,8106.0,МегаБыт,1380882.0,4.3,0.0,1.0,0.0,тренажеры,all_products.csv,medium,2025-12-04,2025-12-11
Фитнес резинки,Набор фитнес резинок,1312.0,7872.0,TOWORLDIS,3990015.0,4.6,0.0,2.0,0.0,тренажеры,all_products.csv,low,2025-11-11,2025-11-16
Мостик для спины,,697.0,4182.0,Универмаг,250060113.0,4.5,9.0,41.0,1.0,тренажеры,all_products.csv,low,2024-10-26,2024-11-01
Тренажёр для пресса с возвратным механизмом,,2956.0,17736.0,SPORTLAND,4195791.0,4.7,0.0,29.0,0.0,ролики для пресса,all_products.csv,low,2025-08-05,2025-08-08
Диск здоровья с резинками с эспандерами,Q,824.0,4944.0,Маркетон,250036934.0,4.6,0.0,29.0,0.0,тренажеры,all_products.csv,low,2025-06-17,2025-07-01
Многофункциональный набор тренажеров для фитнеса,,1625.0,9750.0,ЛИТОНWELL,4140549.0,4.5,0.0,46.0,0.0,наборы для фитнеса,all_products.csv,low,2022-08-17,2022-09-01
Виброплатформа для похудения кардио степпер тренажер,,4215.0,25290.0,Blastar,4361867.0,4.3,46.0,18.0,5.0,тренажеры,all_products.csv,medium,2025-01-22,2025-02-08
Твистер для похудения и талии с эспандерами для дома,ас3492,1154.0,6924.0,ИП Касымов П.А.,250076476.0,4.7,0.0,47.0,0.0,тренажеры,all_products.csv,low,2025-06-08,2025-06-15
"Тренажер, петли для спорта и реабилитации",FISIO,2856.0,17136.0,FISIO,87814.0,4.9,3247.0,2.0,328.0,петли тренировочные,all_products.csv,low,2025-12-23,2025-12-27
Мини степпер тренажер для фитнеса для ног,,3168.0,19008.0,Favorite,684994.0,4.6,0.0,30.0,0.0,тренажеры,all_products.csv,low,2025-05-09,2025-05-14
